path,kind,status,evidence
OMEGA_PHASE21_QUERY_ENGINE,dir,SNAPSHOT,"phase-frozen"
OMEGA_SPRINT15,dir,SNAPSHOT,"phase-frozen"
sprint28_5,dir,SNAPSHOT,"phase-frozen"
omega-phase23,dir,SNAPSHOT,"phase-frozen"
omega-v44,dir,LEGACY,"2026-01..02 abandoned tree"
omega-v44-phase7,dir,LEGACY,"2026-01..02 abandoned tree"
OMEGA_SENTINEL_SUPREME,dir,SNAPSHOT,"phase-frozen"
OMEGA_MASTER_DOSSIER_v3.21.0_PERFECT,dir,SNAPSHOT,"versioned dossier bundle"
OMEGA_MASTER_DOSSIER_v3.61.0,dir,SNAPSHOT,"versioned dossier bundle"
OMEGA_MASTER_DOSSIER_v3.83.0,dir,SNAPSHOT,"versioned dossier bundle (latest)"
OMEGA_SNAPSHOTS,dir,SNAPSHOT,"archival"
EXPORT_FULL_PACK,dir,SNAPSHOT,"certificats phases 30-60"
archives/,dir,SNAPSHOT,"ZIP snapshots"
releases/,dir,SNAPSHOT,"release bundles"
proofpacks/,dir,SNAPSHOT,"proof bundles"
certificates/,dir,SNAPSHOT,"~30 phase certs (reference)"
dist/,dir,SNAPSHOT,"build output of src/runner (the mock) only"
omega-nexus/,dir,GARAGE,"experimental tree 2026-01..02"
omega-nexus-package/,dir,GARAGE,"experimental tree"
omega-narrative-genome/,dir,GARAGE,"experimental tree"
scale_out/,dir,GARAGE,"experiment"
omega-ui-bootstrap/,dir,GARAGE,"experiment"
omega_titanium_ultimate/,dir,GARAGE,"experiment"
omega_templates/,dir,GARAGE,"templates"
genius-integration/,dir,GARAGE,"experiment"
plugins/,dir,GARAGE,"experiment"
GOVERNANCE/,dir,SUPPORT,"governance framework + DECISIONS (sealed DEC-*)"
ROADMAP/,dir,SUPPORT,"roadmap docs"
evidence/,dir,SUPPORT,"logs+hashes sink"
sessions/,dir,SUPPORT,"SSOT per EMP-15 (session saves)"
config/,dir,SUPPORT,"config"
schemas/,dir,SUPPORT,"schemas"
packages/sovereign-engine,pkg,ACTIVE_RUNTIME_LIB,"2026-06-04; runSovereignForge (src/index.ts:21) provider-injected; OFF live path (no entrypoint injects real provider); 55 test dirs"
packages/gateway-cli-runner,pkg,ACTIVE_RUNTIME,"@omega/cli-runner v3.16.0 bin omega; real omega analyze path"
packages/book-factory,pkg,DRAFT_UNTRACKED,"git status ??; brand-new; story-state+adapter+orchestrator; 46 tests; no external caller"
packages/canon-kernel,pkg,ACTIVE_RUNTIME_LIB,"2026-05-03; only narrative canon consumed by package code (via book-factory); 4 tests"
packages/genome,pkg,FROZEN,"SEALED 2026-01-07 README FROZEN"
packages/mycelium-bio,pkg,FROZEN,"cert v1.0.0; gematria/merkle emotional DNA per book"
packages/scribe-engine,pkg,DORMANT,"2026-05-31; lib; only creation-pipeline stage-scribe references it"
packages/creation-pipeline,pkg,DORMANT,"2026-04-27; TS book pipeline; superseded by Python forge"
packages/genesis-planner,pkg,DORMANT,"2026-04-27; static Canon validator; off live path"
packages/orchestrator-core,pkg,BENCH_ONLY,"2026-05-31; imported by contracts-canon + gold-* (cert) only"
packages/integration-nexus-dep,pkg,DORMANT,"2026-05-19; router/dispatcher/registry; 14 tests; imported only by contracts-canon"
packages/decision-engine,pkg,ORPHAN,"2026-05-19; zero external importers (grep)"
packages/omega-segment-engine,pkg,DORMANT,"2026-05-19; imported only by contracts-canon/src/modules.ts (registry metadata)"
packages/signal-registry,pkg,DORMANT,"2026-05-30; IDL codegen; consumes sovereign-engine types"
packages/truth-gate,pkg,DORMANT,"2026-05-30; validators+tests but real runner uses mock TruthGate"
packages/sentinel-judge,pkg,DORMANT,"CLAUDE.md banner ACTIVE but no live caller found"
packages/contracts-canon,pkg,ACTIVE_RUNTIME_LIB,"governance canon (interface contracts) index.ts:5; registry hub"
packages/search,pkg,DORMANT,"2026-05-25"
packages/mycelium,pkg,DORMANT,"2026-04-27"
packages/emotion-gate,pkg,DORMANT,"2026-05-25"
packages/omega-aggregate-dna,pkg,DORMANT,"2026-05-25"
packages/omega-observability,pkg,DORMANT,"2026-05-25"
packages/omega-metrics,pkg,DORMANT,"2026-05-31"
packages/headless-runner,pkg,DORMANT,"2026-05-26"
packages/omega-runner,pkg,DORMANT,"runCreate/runForge/runFull over creation-pipeline (dormant)"
packages/omega-forge,pkg,DORMANT,"2026-04-27"
packages/style-emergence-engine,pkg,DORMANT,"2026-04-27"
packages/plugin-sdk,pkg,DORMANT,"2026-05-26"
packages/plugin-gateway,pkg,DORMANT,"2026-05-25"
packages/hardening,pkg,DORMANT,"2026-05-19 security utilities"
packages/performance,pkg,DORMANT,"2026-05-19; ObjectPool (generic, not agents)"
packages/phase-q,pkg,DORMANT,"2026-05-19"
packages/proof-pack,pkg,DORMANT,"2026-05-19"
packages/omega-p0,pkg,DORMANT,"2026-05-19; consumer test of sovereign-engine"
packages/omega-governance,pkg,DORMANT,"2026-05-19"
packages/omega-release,pkg,DORMANT,"2026-05-19"
packages/omega-bridge-ta-mycelium,pkg,DORMANT,"2026-05-19"
packages/gold-cli,pkg,BENCH_ONLY,"certification harness"
packages/gold-master,pkg,BENCH_ONLY,"certification suite"
packages/gold-internal,pkg,BENCH_ONLY,"certification suite"
packages/gold-suite,pkg,BENCH_ONLY,"certification suite"
packages/trust-version,pkg,LEGACY,"2026-01-29"
packages/schemas,pkg,LEGACY,"2026-01-29"
packages/sbom,pkg,LEGACY,"2026-01-29"
packages/hostile,pkg,LEGACY,"2026-01-29 red-team fixtures"
packages/plugin-sdk,pkg,DORMANT,"2026-05-26"
