chapter;paragraph;kind;action;before;after
10;12;UNTERMINATED_BLOCK;CUT_AT_CLAUSE_COMMA;"pure dans son regard. Une peur qui ne venait pas de la mort, mais de ce qui suivrait. « Si";"ière fois, Garcia vit la peur pure dans son regard. Une peur qui ne venait pas de la mort."
10;21;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;" de la haine. C'était une supplication. Une terreur pure, nue, qui lui arracha la gorge. «";"de la haine. C'était une supplication. Une terreur pure, nue, qui lui arracha la gorge. «."
10;32;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"«";"«."
11;11;DANGLING_FRAGMENT;CUT_TO_LAST_SENTENCE;"on remonter le long de sa colonne vertébrale. Ce n'était pas de la protection. C'était une";"tit un frisson remonter le long de sa colonne vertébrale. Ce n'était pas de la protection."
11;11;NEAR_DUP_RESUME;REMOVE_ORPHAN_SENTENCE;"Ce n'était pas de la protection.";"(orpheline retirée — la version du bloc suivant porte la suite)"
11;22;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"ment. Un règlement de compte. Et le gardien, celui qui avait été trouvé mort dans le phare";"ent. Un règlement de compte. Et le gardien, celui qui avait été trouvé mort dans le phare."
11;35;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"ur la dette. Et cette dette, Squarcioni le savait, était liée à la famille Marchetti. À Lé";"re. Il avait été tué pour le silence. Pour la dette. Et cette dette, Squarcioni le savait."
12;16;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Le visage";"Le visage."
12;40;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"glacée, mordante. Il la fit circuler dans sa bouche avant de l'avaler. — Tu parles de culp";"lacée, mordante. Il la fit circuler dans sa bouche avant de l'avaler. — Tu parles de culp."
13;20;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Garcia se leva brusquement,";"Garcia se leva brusquement."
13;34;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Il arriva devant la maison de Léna Marchetti";"Il arriva devant la maison de Léna Marchetti."
13;42;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"t sentie en sortant de chez Squarcioni, mais ici, elle était plus intense, plus âcre. Elle";" sentie en sortant de chez Squarcioni, mais ici, elle était plus intense, plus âcre. Elle."
14;16;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"« Elle ne le dira pas";"« Elle ne le dira pas."
14;24;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"taient remplies de notes. Des dates, des heures, des noms. Mais ce n'étaient pas des notes";"aient remplies de notes. Des dates, des heures, des noms. Mais ce n'étaient pas des notes."
14;36;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"La logique de Squarcioni était tordue, mais elle portait une vérité troublante : la peur";"La logique de Squarcioni était tordue, mais elle portait une vérité troublante : la peur."
15;16;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"ant violemment. Garcia resta assis un instant, le silence retombant sur lui comme un lourd";"nt violemment. Garcia resta assis un instant, le silence retombant sur lui comme un lourd."
15;24;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"t une issue. Le vieux homme n'était pas un complice, il était un témoin effrayé. Et Garcia";" une issue. Le vieux homme n'était pas un complice, il était un témoin effrayé. Et Garcia."
15;34;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"« Qui l'a fait taire";"« Qui l'a fait taire."
16;15;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"lque chose de similaire. Une boîte que je n'ai pas. Je ne prends pas de somnifères, Garcia";"que chose de similaire. Une boîte que je n'ai pas. Je ne prends pas de somnifères, Garcia."
16;44;DANGLING_FRAGMENT;REMOVE_TRUNCATED_FRAGMENT;"Le regard de Garcia se posa sur";"(retiré — tracé)"
17;24;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"le regarda son manteau, accroché au dos de la chaise. Elle avait mis ses mains dans les po";"Léna figea. Elle regarda son manteau."
17;38;DANGLING_FRAGMENT;REMOVE_FALSE_START;" leva lentement. Le craquement de sa chaise en bois fendit le silence. Il s'approcha de la";"(retiré — tracé)"
17;57;UNTERMINATED_BLOCK;CUT_AT_CLAUSE_COMMA;" pas dit ? s'énerva Léna, la panique commençant à lui nouer les intestins. Pourquoi ne m'a";"— Si c'est vrai, alors pourquoi ne l'a-t-il pas dit ? s'énerva Léna."
18;12;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"le pierre et de quelque chose d'autre. Une odeur de fer. Le sang. Il est là, imperceptible";"e pierre et de quelque chose d'autre. Une odeur de fer. Le sang. Il est là, imperceptible."
18;20;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"ques de coups. Des chocs violents, répétés. Quelqu'un a tenté de briser la lentille, ou de";"es marques de coups. Des chocs violents, répétés. Quelqu'un a tenté de briser la lentille."
18;20;NEAR_DUP_RESUME;REMOVE_ORPHAN_SENTENCE;"Quelqu'un a tenté de briser la lentille.";"(orpheline retirée — la version du bloc suivant porte la suite)"
18;37;UNTERMINATED_BLOCK;REMOVE_TRUNCATED_FRAGMENT;"Il";"(retiré — tracé)"
19;36;DANGLING_FRAGMENT;REMOVE_TRUNCATED_FRAGMENT;"Gasp";"(retiré — tracé)"
19;37;UNTERMINATED_BLOCK;CUT_AT_CLAUSE_COMMA;"nt de quelques octaves. Yvon secoue la tête. — Je ne peux pas vous le dire. Le silence est";" pacte. Le mot résonne dans la pièce comme un coup de feu. — Quel pacte ? demande Gaspard."
20;10;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Garcia recula";"Garcia recula."
20;36;UNTERMINATED_BLOCK;CUT_AT_CLAUSE_COMMA;"« Parce que la mer ne pardonne pas, » répondit Squarcioni. Il posa une main sur l'épa";"« Parce que la mer ne pardonne pas."
21;15;DANGLING_FRAGMENT;CUT_TO_LAST_SENTENCE;"En bas. » Yvon désigna la porte d'entrée de la maison. « Elle a refusé de partir. Elle dit";" est là. En bas. » Yvon désigna la porte d'entrée de la maison. « Elle a refusé de partir."
21;28;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Léna recule d'un pas, se figeant dans l'ombre";"Léna recule d'un pas, se figeant dans l'ombre."
21;38;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"von, dans l'encadrement de la porte, bouge à peine. Ses yeux se posent sur Garcia avec une";"é le naufrage. La même chose qui a isolé le village. Yvon, dans l'encadrement de la porte."
22;34;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"arce que Yvon a vu quelque chose qui ne ressemble à personne, dit-elle. Une silhouette qui";"— Parce que Yvon a vu quelque chose qui ne ressemble à personne."
22;48;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;", la question porte un autre poids. Pourquoi a-t-il laissé les rumeurs circuler ? Pourquoi";" la question porte un autre poids. Pourquoi a-t-il laissé les rumeurs circuler ? Pourquoi."
23;38;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"t épais, granuleux. Il y a une mention, une date, une signature. *1942*. Le bois date de 1";" épais, granuleux. Il y a une mention, une date, une signature. *1942*. Le bois date de 1."
23;54;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"chargé d'odeurs de sel et de moisissure. Il regarde Léna, cherchant un signe de faiblesse,";"chargé d'odeurs de sel et de moisissure. Il regarde Léna, cherchant un signe de faiblesse."
24;17;DANGLING_FRAGMENT;CUT_TO_LAST_SENTENCE;"Léna ferme la fenêtre. Elle entend la porte d'entrée s'ouvrir. Des pas dans le";"Léna ferme la fenêtre. Elle entend la porte d'entrée s'ouvrir."
24;35;UNTERMINATED_BLOCK;CUT_TO_LAST_SENTENCE;"Yvon ne répond pas tout de suite. Il";"Yvon ne répond pas tout de suite."
24;35;NEAR_DUP_RESUME;REMOVE_FALSE_START;"Yvon ne répond pas tout de suite.";"(bloc entier dupliqué au suivant — retiré)"
25;12;DANGLING_FRAGMENT;REMOVE_FALSE_START;"— Il y a une chose, dit Garcia en s'asseyant à";"(retiré — tracé)"
25;30;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"oles de détresse, les fréquences radio, les signaux de fumée. Mais l'idée d'un signal codé";"les de détresse, les fréquences radio, les signaux de fumée. Mais l'idée d'un signal codé."
26;9;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;". « Le gardien, c'est l'homme qui a été tué. L'homme qu'on a retrouvé dans le soubassement";" « Le gardien, c'est l'homme qui a été tué. L'homme qu'on a retrouvé dans le soubassement."
26;21;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;" « Et vous êtes partie. Vous n'avez pas appelé la gendarmerie. Vous n'avez pas frappé à la";"« Vous avez entendu du verre qui se brise, » répéta Garcia."
26;34;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;" porta, brisant le mutisme de la pièce. « Je n'ai rien vu de plus ! J'ai entendu un bruit,";" porta, brisant le mutisme de la pièce. « Je n'ai rien vu de plus ! J'ai entendu un bruit."
27;34;DANGLING_FRAGMENT;REMOVE_TRUNCATED_FRAGMENT;"Garcia se";"(retiré — tracé)"
27;46;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"tions, on lui retire sa place. Il voulait juste continuer son travail. Mais ce jour-là, il";"uestions, on lui retire sa place. Il voulait juste continuer son travail. Mais ce jour-là."
28;27;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;" qui fument des cigarettes blondes, celles qu'on trouve dans les distributeurs de la route";"qui fument des cigarettes blondes, celles qu'on trouve dans les distributeurs de la route."
28;45;UNTERMINATED_BLOCK;REMOVE_TRUNCATED_FRAGMENT;"— Je";"(retiré — tracé)"
29;6;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"eux collés par l'humidité. Elle ne les laissa pas entrer tout de suite. — Vous n'allez pas";"ux collés par l'humidité. Elle ne les laissa pas entrer tout de suite. — Vous n'allez pas."
29;6;NEAR_DUP_RESUME;REMOVE_ORPHAN_SENTENCE;"— Vous n'allez pas.";"(orpheline retirée — la version du bloc suivant porte la suite)"
29;24;DANGLING_FRAGMENT;REMOVE_TRUNCATED_FRAGMENT;"G";"(retiré — tracé)"
29;41;DANGLING_FRAGMENT;REMOVE_TRUNCATED_FRAGMENT;"— Je ne";"(retiré — tracé)"
30;15;DANGLING_FRAGMENT;REMOVE_FALSE_START;"— Alors qui l'a ? demanda Squ";"(retiré — tracé)"
30;33;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"— Oui. Il disait que des bateaux fréquentaient la zone. Des bateaux qui ne respectaient";"— Oui. Il disait que des bateaux fréquentaient la zone. Des bateaux qui ne respectaient."
30;50;UNTERMINATED_BLOCK;CUT_TO_LAST_SENTENCE;"Le nom de la jeune femme fit naître une ombre dans l'esprit de Garcia. Léna Marchetti. Une";"Le nom de la jeune femme fit naître une ombre dans l'esprit de Garcia. Léna Marchetti."
31;25;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Garcia se leva brusquement. La chaise gratta le sol carrelé";"Garcia se leva brusquement. La chaise gratta le sol carrelé."
31;72;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"— Non, dit-il ferm";"— Non, dit-il ferm."
32;23;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"— Il est parti";"— Il est parti."
32;38;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"une marque de boue ou de sang séché. Il a tendu la main pour la toucher, mais a retiré son";"une tache sombre, une marque de boue ou de sang séché. Il a tendu la main pour la toucher."
32;58;UNTERMINATED_BLOCK;CUT_AT_CLAUSE_COMMA;"détail a surgi. Une cicatrice, fine et blanche, qui partait de sa tempe et descendait vers";"vers eux, et dans la lueur de la lampe, un détail a surgi. Une cicatrice, fine et blanche."
33;12;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;" une cigarette de sa poche, la regardant un instant comme si elle était un objet étranger,";" une cigarette de sa poche, la regardant un instant comme si elle était un objet étranger."
33;12;NEAR_DUP_RESUME;REMOVE_FALSE_START;" une cigarette de sa poche, la regardant un instant comme si elle était un objet étranger.";"(bloc entier dupliqué au suivant — retiré)"
33;25;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;" pas vouloir entendre. » Il se tourna vers Gaspard. « Où étiez-vous exactement, la nuit du";" ne semblez pas vouloir entendre. » Il se tourna vers Gaspard. « Où étiez-vous exactement."
34;18;DANGLING_FRAGMENT;CUT_TO_LAST_SENTENCE;"n n'avait pas de blessure à la jambe. Et le rapport dit qu'il n'y avait pas d'effort de la";"— Non, a dit Garcia. Le gardien n'avait pas de blessure à la jambe."
34;34;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"— Pourquoi ? demanda Léna, le cœur battant à tout rompre";"— Pourquoi ? demanda Léna, le cœur battant à tout rompre."
34;50;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Un silence lourd s'installa entre eux, brisé seulement par le grondement";"Un silence lourd s'installa entre eux, brisé seulement par le grondement."
35;6;DANGLING_FRAGMENT;CUT_TO_LAST_SENTENCE;"rdien a été retiré. La table est renversée. Une chaise est jetée contre le mur. Sur le sol";"corps du gardien a été retiré. La table est renversée. Une chaise est jetée contre le mur."
35;17;DANGLING_FRAGMENT;REMOVE_TRUNCATED_FRAGMENT;"Yvon hésite. Il cro";"(retiré — tracé)"
35;33;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"dit Yvon. C'était... c'était comme si la lumière elle-même s'était figée. Une tache noire,";"dit Yvon. C'était... c'était comme si la lumière elle-même s'était figée. Une tache noire."
36;20;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Gaspard se leva à son tour, récupérant son mante";"Gaspard se leva à son tour, récupérant son mante."
36;30;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"c froid. La lumière vacillante provenait d'une seule bougie posée sur la table basse. Yvon";" froid. La lumière vacillante provenait d'une seule bougie posée sur la table basse. Yvon."
36;44;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"— Le silence... chuchota-t-il. Le silence a mang";"— Le silence... chuchota-t-il. Le silence a mang."
37;18;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"uarcioni. Il se tourna vers la fenêtre, les poings serrés. « Regardez dehors. La tempête s";"ous n'êtes qu'un homme qui regarde la mer, » dit Squarcioni. Il se tourna vers la fenêtre."
37;30;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"« Ou plutôt, tout le monde le sait, et personne ne le dit. » Il leva les yeux vers Garcia,";"« Ou plutôt, tout le monde le sait, et personne ne le dit. » Il leva les yeux vers Garcia."
37;41;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"erchant ses mots dans le brouillard de sa mémoire. « Le jour où Jean-Paul est mort, le cad";"êta, cherchant ses mots dans le brouillard de sa mémoire. « Le jour où Jean-Paul est mort."
38;11;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Un frisson glacé parcourut l'échine de Garcia. Il posa une main sur l'épaule de la femme";"Un frisson glacé parcourut l'échine de Garcia. Il posa une main sur l'épaule de la femme."
38;26;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Garcia échangea un regard rapide";"Garcia échangea un regard rapide."
38;26;NEAR_DUP_RESUME;REMOVE_FALSE_START;"Garcia échangea un regard rapide.";"(bloc entier dupliqué au suivant — retiré)"
38;37;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Le bruit de l'eau semblait s'être éloigné. Le vent dehors s'était apaisé, ne laissant";"Le bruit de l'eau semblait s'être éloigné. Le vent dehors s'était apaisé, ne laissant."
39;16;DANGLING_FRAGMENT;REMOVE_FALSE_START;"Garcia lève les yeux. Gaspard, Yvon, Léna, tous le";"(retiré — tracé)"
39;25;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"rchant la fin du message, cherchant l'indice qui manquait, cette preuve qui ferait éclater";"chant la fin du message, cherchant l'indice qui manquait, cette preuve qui ferait éclater."
39;28;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"e métallique, caché dans la paroi de fonte. Un petit loquet, rouillé par le sel. Il appuie";" métallique, caché dans la paroi de fonte. Un petit loquet, rouillé par le sel. Il appuie."
40;15;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"us se taire, » coupe Garcia. « Il a voulu rendre la lettre publique. Il l'a cachée dans le";"« Je veux dire que le gardien ne voulait plus se taire."
40;29;DANGLING_FRAGMENT;STYLED_DIALOGUE_OK;"rière elles, apportant avec lui l'odeur de la mer, salée et âcre, qui se mêle à l'odeur de";"rière elles, apportant avec lui l'odeur de la mer, salée et âcre, qui se mêle à l'odeur de"
40;42;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"d'une vérité qui a coursé dans les veines du village pendant des décennies, une vérité qui";" Il est saturé d'une vérité qui a coursé dans les veines du village pendant des décennies."
41;16;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"ter en lui. Il sait que la lettre est vraie. Il le sait depuis longtemps. Il a entendu les";"Yvon se lève. Il va vers la fenêtre. Il regarde la mer. Il ne voit rien."
41;30;UNTERMINATED_BLOCK;CUT_AT_CLAUSE_COMMA;"che du plancher, dans la cabine du phare. Ou peut-être dans le coffre à la maison de Ker-M";"ns ce tiroir, dit Garcia. Elle est là où le gardien l'a mise. Sous la planche du plancher."
41;40;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"« Le gardien n'a pas tué », coupe Garcia";"« Le gardien n'a pas tué », coupe Garcia."
42;14;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"licité du meurtre. Ils se taisaient par peur de ce qui avait été enfoui sous les vagues en";"emblait bloquée par le poids de l'extérieur. Il se souvint de Gaspard, de Yvon Squarcioni."
42;26;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"atoire, mais les murs semblaient se rapprocher. Chaque objet dans la cuisine, chaque trace";"toire, mais les murs semblaient se rapprocher. Chaque objet dans la cuisine, chaque trace."
42;38;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"Yvon secoua la tête, un mouvement dés";"Yvon secoua la tête."
43;19;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"— Le gardien savait. Il savait que le navire n'était pas parti en perdition";"— Le gardien savait. Il savait que le navire n'était pas parti en perdition."
43;47;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Yvon sortit un petit carnet de sa poche";"Yvon sortit un petit carnet de sa poche."
44;15;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"« Tu comprends », dit Garcia. Il s'agenouille près du corps. Il prend";"« Tu comprends », dit Garcia. Il s'agenouille près du corps. Il prend."
44;37;DANGLING_FRAGMENT;REMOVE_TRUNCATED_FRAGMENT;"« Et le gardien a";"(retiré — tracé)"
44;49;UNTERMINATED_BLOCK;CUT_AT_CLAUSE_COMMA;"si de devenir le maire, de devenir le protecteur du village, tout en cachant le secret. Tu";"s choisi d'oublier. Tu as choisi de devenir le maire, de devenir le protecteur du village."
45;22;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"açant le reflet de son propre visage. Il vit l'ombre d'une forme dans le jardin, juste à l";"vitre, effaçant le reflet de son propre visage. Il vit l'ombre d'une forme dans le jardin."
45;32;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"u village. L'homme qui avait aidé à construire le phare. L'homme qui avait tenu la main du";"plus claire apparut, se détachant de l'ombre principale. Un homme. Un vieil homme, courbé."
45;51;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"— La mairie, et le village entier, ont décidé de mentir,";"— La mairie, et le village entier, ont décidé de mentir."
46;19;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"t de briser un serment, ou d'un homme qui vient de trahir. « Personne n'a ce couteau à Ker";"« Personne », dit Yvon. Sa voix était celle d'un homme qui vient de briser un serment."
46;39;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"— Vous croyez vraiment";"— Vous croyez vraiment."
47;12;UNTERMINATED_BLOCK;CUT_AT_CLAUSE_COMMA;"blante des projecteurs, son visage était pâle, les yeux cernés d'une fatigue infinie. « Et";" tourna la tête vers lui. Dans la lueur tremblante des projecteurs, son visage était pâle."
47;35;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"Il a tué le gardien. Il a tué celui qui savait qu'il était vivant, et qui menaçait de révé";"l a tué le gardien. Il a tué celui qui savait qu'il était vivant, et qui menaçait de révé."
48;7;UNTERMINATED_BLOCK;CUT_AT_CLAUSE_COMMA;" yeux noirs brillant de larmes non versées. « Et personne ne veut se couper les mains pour";"— Parce que la vérité est un couteau, » dit Léna."
48;24;UNTERMINATED_BLOCK;CUT_TO_LAST_SENTENCE;"entit un frisson parcourir sa colonne vertébrale. Les lettres. Ce qu'il avait cherché sans";"Garcia sentit un frisson parcourir sa colonne vertébrale. Les lettres."
48;38;DANGLING_FRAGMENT;REMOVE_TRUNCATED_FRAGMENT;"Garcia se";"(retiré — tracé)"
49;7;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"d que le vent dehors. Garcia secoue la tête, un geste lent, presque imperceptible. Gaspard";" que le vent dehors. Garcia secoue la tête, un geste lent, presque imperceptible. Gaspard."
49;32;UNTERMINATED_BLOCK;ADD_TERMINAL_PERIOD;"— Parce que le silence est la seule monnaie qui vaille encore, répond Garcia, sa voix";"— Parce que le silence est la seule monnaie qui vaille encore, répond Garcia, sa voix."
50;13;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"? Ce n'est pas par peur de la police. C'est par peur de ce qui se passe dans les têtes des";"oie. Parce que je savais que si je le faisais, ça ne servirait à rien. Le village se tait."
50;26;DANGLING_FRAGMENT;CUT_AT_CLAUSE_COMMA;"« Henri n'est pas mort assassiné », dit Y";"« Henri n'est pas mort assassiné »."
